	Frequency	Amplituded
147	21195.953234788187	1.0981373846714428
148	21287.306724199927	1.100821847560244
149	21378.660213611667	1.1035392705208296
150	21470.01370302341	1.1062901895513393
151	21561.36719243515	1.1090751514664796
152	21652.720681846895	1.111894714157348
153	21744.074171258635	1.114749446858473
154	21835.42766067038	1.1176399304222961
155	21926.78115008212	1.1205667576013278
156	22018.134639493863	1.1235305333382237
157	22109.488128905603	1.12653187506403
158	22200.841618317347	1.1295714130048582
159	22292.195107729087	1.1326497904972586
160	22383.54859714083	1.135767664312572
161	22474.90208655257	1.138925704990546
162	22566.25557596431	1.1421245971825191
163	22657.609065376055	1.1453650400044773
164	22748.962554787795	1.1486477474003058
165	22840.31604419954	1.1519734485155713
166	22931.66953361128	1.155342888082173
167	23023.023023023023	1.1587568268142245
